subject	AcqGroup
sub-73549281	4
sub-72560222	4
sub-72076711	4
sub-71514280	4
sub-70917649	4
sub-62574447	4
sub-01626306	4
sub-55772716	4
sub-53791255	4
sub-52173227	4
sub-51903261	4
sub-51864085	4
sub-51791453	4
sub-56670427	4
sub-57434619	4
sub-75675336	4
sub-91199969	4
sub-91189485	4
sub-90906596	4
sub-89811231	4
sub-76878571	4
sub-89649999	4
sub-89614402	4
sub-87275819	4
sub-86937852	4
sub-92371267	4
sub-99750088	4
sub-98186040	4
sub-97749823	4
sub-97449632	4
sub-97220113	4
sub-95161041	4
sub-94463356	4
sub-92602617	4
sub-92539409	4
sub-86420222	4
sub-81274534	4
sub-79938680	4
sub-79501267	4
sub-81795552	4
sub-85925902	4
sub-85584353	4
sub-84955962	4
sub-84525776	4
sub-51650969	4
sub-51400993	4
sub-22396591	4
sub-19785885	4
sub-19325445	4
sub-18643192	4
sub-18611216	4
sub-17712202	4
sub-17615774	4
sub-17260313	4
sub-29244108	4
sub-27463113	4
sub-26637867	4
sub-16733667	4
sub-10093562	4
sub-08682642	4
sub-08637647	4
sub-08558869	4
sub-07570491	4
sub-04127190	4
sub-02904677	4
sub-10459674	4
sub-12788806	4
sub-14487402	4
sub-14397423	4
sub-14074375	4
sub-29504823	4
sub-31504924	4
sub-47520485	4
sub-46910335	4
sub-46246604	4
sub-46105408	4
sub-49590907	4
sub-50408239	4
sub-50302842	4
sub-50300958	4
sub-50109639	4
sub-50108336	4
sub-50107295	4
sub-50105851	4
sub-35170130	4
sub-34204855	4
sub-33332646	4
sub-33321607	4
sub-33118460	4
sub-32202457	4
sub-31813134	4
sub-31728786	4
sub-41285665	4
sub-39484737	4
sub-69087591	5
sub-71070017	5
sub-67510897	5
sub-65861241	5
sub-71806467	5
sub-75510556	5
sub-75142238	5
sub-72343697	5
sub-56603444	5
sub-55831950	5
sub-54539393	5
sub-58805606	5
sub-64925372	5
sub-77366180	5
sub-77570468	5
sub-93667416	5
sub-91231332	5
sub-94549523	5
sub-98919041	5
sub-98813492	5
sub-98693832	5
sub-94803738	5
sub-95620227	5
sub-88488240	5
sub-82003527	5
sub-78267114	5
sub-83236178	5
sub-18219966	5
sub-18578838	5
sub-18646253	5
sub-20036948	5
sub-17497710	5
sub-16288167	5
sub-20853379	5
sub-26330313	5
sub-25464740	5
sub-23124993	5
sub-21608092	5
sub-21274316	5
sub-21002074	5
sub-21000216	5
sub-14536586	5
sub-06702361	5
sub-08704345	5
sub-13346850	5
sub-13026999	5
sub-10516212	5
sub-10395061	5
sub-10371937	5
sub-10310236	5
sub-09790439	5
sub-42826974	5
sub-44751386	5
sub-40427145	5
sub-39818963	5
sub-39721045	5
sub-39407432	5
sub-48331728	5
sub-47354365	5
sub-30028369	5
sub-29515998	5
sub-29323436	5
sub-27586957	5
sub-37946272	5
sub-71438987	6
sub-68000002	6
sub-76184882	6
sub-75124326	6
sub-74536966	6
sub-72547077	6
sub-72571009	6
sub-73685018	6
sub-55598394	6
sub-65499271	6
sub-93435488	6
sub-98129389	6
sub-80686912	6
sub-85586373	6
sub-19474655	6
sub-18024055	6
sub-18882093	6
sub-17041894	6
sub-23104485	6
sub-23335372	6
sub-07195200	6
sub-02732911	6
sub-03340627	6
sub-13976224	6
sub-11626867	6
sub-08587260	6
sub-08784125	6
sub-11486113	6
sub-40622530	6
sub-40745950	6
sub-40915696	6
sub-54063118	6
sub-32046361	6
sub-28120589	6
sub-00794537	7
sub-75974774	7
sub-46391874	7
sub-54188422	7
sub-59158516	7
sub-61317602	7
sub-62216616	7
sub-70241024	7
sub-78856719	7
sub-84312665	7
sub-87011905	7
sub-93195145	7
sub-97536848	7
sub-45683155	7
sub-44059133	7
sub-06289459	7
sub-12043602	7
sub-15756754	7
sub-17826865	7
sub-19838873	7
sub-25526621	7
sub-42238096	7
sub-30122312	7
sub-31155785	7
sub-39554758	7
sub-41378679	7
sub-68481703	8
sub-76137867	8
sub-57597479	8
sub-58677906	8
sub-63649283	8
sub-91349809	8
sub-94630355	8
sub-99693576	8
sub-82325110	8
sub-84916951	8
sub-83944153	8
sub-18126826	8
sub-16597115	8
sub-16212351	8
sub-09508427	8
sub-45212640	8
sub-46178577	8
sub-50301701	8
sub-50300534	8
sub-50300372	8
sub-50103417	8
sub-49007537	8
sub-28680644	8
sub-28314511	8
sub-37280555	8
sub-67103270	9
sub-56180668	9
sub-57707979	9
sub-60200370	9
sub-74852625	9
sub-81674576	9
sub-84228358	9
sub-13452019	9
sub-08102079	9
sub-40661415	9
sub-41357606	9
sub-43197822	9
sub-44269471	9
sub-44507820	9
sub-48237351	9
sub-48285417	9
sub-33137549	9
sub-34518984	9
sub-75001294	10
sub-56025914	10
sub-60593724	10
sub-61542827	10
sub-90254005	10
sub-88182963	10
sub-96074993	10
sub-82780217	10
sub-83334873	10
sub-16064431	10
sub-21274578	10
sub-21986205	10
sub-05225665	10
sub-11688997	10
sub-41871523	10
sub-48213489	10
sub-39343793	10
sub-34070357	10
sub-55994710	11
sub-60346107	11
sub-64386439	11
sub-92688745	11
sub-89912411	11
sub-99377367	11
sub-84552319	11
sub-22832810	11
sub-05321052	11
sub-06893229	11
sub-12357443	11
sub-08098966	11
sub-40189408	11
sub-61595488	12
sub-96789493	12
sub-82520217	12
sub-17974060	12
sub-16879494	12
sub-20860828	12
sub-13432899	12
sub-10479506	12
sub-46433373	12
sub-32091942	12
sub-31143443	12
sub-37700720	12
sub-58614447	13
sub-58326624	13
sub-91763687	13
sub-81783210	13
sub-85186331	13
sub-04862682	13
sub-35847634	13
sub-40871627	13
sub-40530793	13
sub-39304782	13
sub-37866777	13
sub-50551515	14
sub-52230739	14
sub-61055543	14
sub-77999453	14
sub-81622344	14
sub-20849279	14
sub-20886846	14
sub-24969970	14
sub-49845805	14
sub-39339855	14
sub-34204567	14
sub-67781836	15
sub-76621666	15
sub-73369061	15
sub-59166782	15
sub-99151323	15
sub-78707509	15
sub-24097955	15
sub-25681825	15
sub-03817943	15
sub-08464714	15
sub-36220549	15
sub-72152564	16
sub-75359253	16
sub-79742340	16
sub-20472416	16
sub-20486354	16
sub-20739944	16
sub-15003546	16
sub-43169148	16
sub-41915754	16
sub-52781299	16
sub-35683982	16
sub-75862393	17
sub-88495663	17
sub-88910757	17
sub-88049747	17
sub-84748235	17
sub-85065931	17
sub-22683723	17
sub-05389430	17
sub-13885104	17
sub-14782198	17
sub-68030544	18
sub-75149339	18
sub-76650481	18
sub-59826313	18
sub-55338718	18
sub-78300592	18
sub-85520889	18
sub-84537270	18
sub-31417556	18
sub-69545186	19
sub-74343949	19
sub-62693953	19
sub-93138484	19
sub-99516006	19
sub-20441095	19
sub-15688203	19
sub-16000705	19
sub-27419385	19
sub-75262623	20
sub-73957787	20
sub-78657384	20
sub-87821751	20
sub-16403934	20
sub-25783272	20
sub-46619977	20
sub-26581268	20
sub-34016757	20
sub-62564549	21
sub-90230421	21
sub-99278233	21
sub-19879642	21
sub-07759318	21
sub-03326467	21
sub-09707014	21
sub-34378654	21
sub-68914513	22
sub-73943687	22
sub-53355949	22
sub-53356828	22
sub-56486107	22
sub-16068769	22
sub-47236602	22
sub-44985334	22
sub-56813520	23
sub-92319975	23
sub-98423772	23
sub-13391981	23
sub-26266802	23
sub-27313574	23
sub-34119407	23
sub-34317953	23
sub-00709354	24
sub-65990079	24
sub-75833578	24
sub-81639479	24
sub-44655449	24
sub-44797362	24
sub-40880222	24
sub-50408103	24
sub-69586117	25
sub-72869408	25
sub-57688599	25
sub-53600397	25
sub-62356645	25
sub-79562706	25
sub-17967809	25
sub-21367582	25
sub-66176579	26
sub-20741150	26
sub-17259824	26
sub-24597324	26
sub-13282409	26
sub-10262879	26
sub-43510695	26
sub-66447233	27
sub-86934089	27
sub-16265624	27
sub-23354613	27
sub-07117738	27
sub-09892462	27
sub-28175584	27
sub-00228190	28
sub-68240468	28
sub-81148605	28
sub-13939071	28
sub-20355470	28
sub-11266139	28
sub-39874033	28
sub-69660076	29
sub-55861780	29
sub-93493992	29
sub-13360984	29
sub-09108223	29
sub-46516939	29
sub-50112436	29
sub-96768556	30
sub-95373147	30
sub-82736939	30
sub-85539934	30
sub-16235506	30
sub-42721592	30
sub-64178959	31
sub-69105830	31
sub-49758987	31
sub-87652570	31
sub-80275355	31
sub-31997381	31
sub-76368754	32
sub-99740180	32
sub-88153300	32
sub-06630618	32
sub-03659963	32
sub-49352697	32
sub-00871133	33
sub-91014121	33
sub-96474935	33
sub-06544381	33
sub-09203281	33
sub-28317122	33
sub-54497344	34
sub-55069786	34
sub-16835690	34
sub-21274442	34
sub-48104907	34
sub-25210734	35
sub-08140651	35
sub-45307098	35
sub-36895858	35
sub-99514112	35
sub-03902977	36
sub-10042633	36
sub-43211671	36
sub-31533749	36
sub-27865599	36
sub-72026185	37
sub-21539112	37
sub-07053099	37
sub-10665684	37
sub-53533437	37
sub-57002539	38
sub-60589462	38
sub-89515666	38
sub-32016379	38
sub-37326968	38
sub-69540555	39
sub-76731441	39
sub-93918950	39
sub-86901774	39
sub-38702934	39
sub-71598000	40
sub-91957295	40
sub-54743671	40
sub-38199917	40
sub-34390470	40
sub-69982407	41
sub-88799920	41
sub-83112293	41
sub-13269830	41
sub-34777681	41
sub-00807897	42
sub-96177193	42
sub-36791229	42
sub-39352262	42
