subject	AcqGroup
sub-21000216	5
sub-20853379	5
sub-27586957	5
sub-26330313	5
sub-39407432	5
sub-39818963	5
sub-55831950	5
sub-54539393	5
sub-58805606	5
sub-56603444	5
sub-44751386	5
sub-42826974	5
sub-40427145	5
sub-48331728	5
sub-47354365	5
sub-13062551	6
sub-21002100	6
sub-21002498	6
sub-21671585	6
sub-22711410	6
sub-23491905	6
sub-24284048	6
sub-25323706	6
sub-27562373	6
sub-28387554	6
sub-28543514	6
sub-28773360	6
sub-29953936	6
sub-30633694	6
sub-30857744	6
sub-31471282	6
sub-32172588	6
sub-32403488	6
sub-21002236	6
sub-20863565	6
sub-13109979	6
sub-13654217	6
sub-13738338	6
sub-14642033	6
sub-15227272	6
sub-17044379	6
sub-17394510	6
sub-17724968	6
sub-19811426	6
sub-20299847	6
sub-32514566	6
sub-32693894	6
sub-10958290	7
sub-12592566	7
sub-23753190	7
sub-23895699	7
sub-25421799	7
sub-26095025	7
sub-26771836	7
sub-27450730	7
sub-28780071	7
sub-29196615	7
sub-30677074	7
sub-30836069	7
sub-21885025	7
sub-20634274	7
sub-12786336	7
sub-14282567	7
sub-15682829	7
sub-16469130	7
sub-16671786	7
sub-16737283	7
sub-17632095	7
sub-18203396	7
sub-18750492	7
sub-19832949	7
sub-32044053	7
sub-33551877	7
sub-34279494	7
sub-34418007	7
sub-34490933	7
sub-26342529	8
sub-26000004	8
sub-26277139	8
sub-26436836	8
sub-24644938	8
sub-23628564	8
sub-24523376	8
sub-15656453	8
sub-15688203	8
sub-15976864	8
sub-16000705	8
sub-16268497	8
sub-16854481	8
sub-15523135	8
sub-15304328	8
sub-14572724	8
sub-13942030	8
sub-17974222	8
sub-21370703	8
sub-22118553	8
sub-20441095	8
sub-19924524	8
sub-19791031	8
sub-76137867	9
sub-63649283	9
sub-68481703	9
sub-94630355	9
sub-91349809	9
sub-99693576	9
sub-84916951	9
sub-83944153	9
sub-82325110	9
sub-37280555	9
sub-28680644	9
sub-28314511	9
sub-50301701	9
sub-58677906	9
sub-57597479	9
sub-50300534	9
sub-45212640	9
sub-46178577	9
sub-50300372	9
sub-50103417	9
sub-49007537	9
sub-72547077	10
sub-72571009	10
sub-73685018	10
sub-74536966	10
sub-71438987	10
sub-75124326	10
sub-76184882	10
sub-65499271	10
sub-68000002	10
sub-93435488	10
sub-98129389	10
sub-80686912	10
sub-85586373	10
sub-54063118	10
sub-55598394	10
sub-40622530	10
sub-40745950	10
sub-40915696	10
sub-59158516	11
sub-61317602	11
sub-62216616	11
sub-70241024	11
sub-75974774	11
sub-78856719	11
sub-46391874	11
sub-84312665	11
sub-87011905	11
sub-93195145	11
sub-97536848	11
sub-54188422	11
sub-45683155	11
sub-39554758	11
sub-41378679	11
sub-42238096	11
sub-44059133	11
sub-74852625	12
sub-67103270	12
sub-56180668	12
sub-57707979	12
sub-60200370	12
sub-81674576	12
sub-84228358	12
sub-44507820	12
sub-48237351	12
sub-48285417	12
sub-44269471	12
sub-43197822	12
sub-40661415	12
sub-41357606	12
sub-75001294	13
sub-61542827	13
sub-60593724	13
sub-90254005	13
sub-96074993	13
sub-82780217	13
sub-83334873	13
sub-88182963	13
sub-48213489	13
sub-56025914	13
sub-39343793	13
sub-41871523	13
sub-58326624	14
sub-58614447	14
sub-91763687	14
sub-81783210	14
sub-85186331	14
sub-35847634	14
sub-40530793	14
sub-39304782	14
sub-37866777	14
sub-40871627	14
sub-23335372	15
sub-23104485	15
