gradient1,gradient2,gradient3,gradient4,gradient5
0.9764769,-0.10207169,-0.8636772,-0.021048594,0.5428531
-0.1159054,0.107283466,-0.47660556,0.035783615,0.33311558
0.9063745,0.005128223,-0.37465322,-0.014289171,0.14316764
0.81079507,0.2627906,0.02456981,-0.21506444,0.11852491
1.5491832,-0.03700788,-0.49001345,-0.013530829,0.060854975
1.4871669,-0.043839492,-0.3995609,-0.004682748,0.10664573
1.6649988,-0.013325616,-0.33385503,-0.05471813,-0.081498936
1.1468494,-0.016635993,-0.02608785,-0.050861735,-0.16083945
3.0564337,-0.15395135,-1.1146331,0.082694344,0.5812194
2.7975676,0.09810579,-0.19701603,-0.43215424,0.0384114
3.7450004,-0.084336326,-1.5922068,0.006861387,0.47287798
2.8803751,-0.024960035,-1.0627424,0.036020607,0.22045897
2.1049445,-0.08921375,-0.74410594,-0.01500114,0.32172352
2.2111535,-0.03832862,0.056983504,-0.076231904,-0.31975684
1.6565769,-0.1076041,-0.57624406,0.000729825,0.47013128
2.7100568,-0.08436948,-0.8615054,0.10260114,0.19014521
1.6809059,-0.09138748,-0.3440395,0.18143453,0.107424594
1.4951539,-0.07574781,-0.31070217,-0.03635625,0.2697096
2.0940294,-0.026143705,-0.48249736,-0.008955367,-0.042980578
0.8320395,-0.17904334,0.43970358,0.29625034,0.1097605
2.8284311,-0.09709288,-0.9959257,0.006246517,0.30572963
2.8244553,-0.09196379,-1.0777959,-0.00779439,0.31644297
1.9647125,-0.08416096,-0.464783,0.06716904,0.15319744
2.2090516,0.002146661,-0.54872334,-0.017288595,0.04212311
0.9110118,-0.025245767,-0.22777076,-0.012603564,0.008627604
2.1196969,-0.076917015,-0.7696752,-0.004702258,0.23124665
3.0811722,-0.06516395,-1.0141153,-0.037888385,0.13225695
1.5088226,-0.0535841,-0.37083948,-0.052330796,0.10841708
1.5993435,0.012688774,-0.13322559,-0.14027691,-0.1557249
2.062575,0.03324484,-0.13838468,-0.1570617,-0.16255069
2.4670694,-0.09154232,-0.6450221,0.002444648,0.16329035
1.4236928,-0.2942928,-0.5799291,0.05297654,0.46793404
2.7787542,0.24383056,-0.9760394,0.07638515,0.10795504
1.8727733,0.45270687,-0.7078927,0.03514722,0.09204262
3.6616673,-0.046934012,-1.2435905,0.032813434,0.17380996
